resume_text,job_role,education,category,education_requirement,soft_skills_user,required_soft_skills,hard_skills_user,required_hard_skills_user,matched_skills,skill_gap,match_score
"education: bachelor's in interior design experience: 7 years skills: critical thinking, figma, budget control, prototyping, analytical skills, friendlinessorganization, texturing, animation, lighting",animator,bachelor's in interior design,creative_design,bachelor's in multimedia|creative design certification,"['friendlinessorganization', 'critical thinking', 'budget control', 'analytical skills']","['friendlinessorganization', 'analytical skills', 'analysis']","['prototyping', 'animation', 'figma', 'lighting', 'texturing']","['animation', 'lighting', 'rendering']","['friendlinessorganization', 'animation', 'analytical skills', 'lighting']","['analysis', 'rendering']",0.53
"education: bachelor's in business administration experience: 2 years skills: financial analysis, target setting, financial modeling, leadership, crm, excel, creativity, python",sales manager,bachelor's in business administration,economy,bachelor's in business administration,"['leadership', 'creativity', 'target setting']","['leadership', 'target setting', 'communication']","['financial analysis', 'crm', 'python', 'excel', 'financial modeling']","['crm', 'market analysis', 'financial analysis']","['crm', 'leadership', 'target setting', 'financial analysis']","['communication', 'market analysis']",0.73
"education: it certification experience: 5 years skills: backup recovery, flask, database optimization, sql, mongodb, linux, user interface, teamwork",database administrator,information technology certification,technology,bachelor's in information technology,"['teamwork', 'collaboration']","['critical thinking', 'collaboration']","['linux', 'sql']","['linux', 'sql']","['sql', 'linux', 'collaboration']",['critical thinking'],0.6
"education: bachelor's in information technology experience: 7 years skills: leadership, rest api, microservices, mysql, adaptability, team work, communication, collaboration, docker",php developer,bachelor's in information technology,technology,bachelor's in information technology,"['adaptability', 'communication', 'collaboration', 'leadership', 'team work']","['communication', 'adaptability', 'collaboration']","['rest api', 'mysql', 'microservices', 'docker']","['php', 'mysql', 'rest api']","['adaptability', 'mysql', 'collaboration', 'rest api', 'communication']",['php'],0.87
"education: bachelor's in marketing experience: 0 years skills: decision making, critical thinking, valuation, excel, statistics, campaign management, attention to detail, planning, creativity, communication, copywriting",email marketing specialist,bachelor's in marketing,economy,bachelor's in marketing,"['communication', 'creativity', 'attention to detail', 'critical thinking', 'planning', 'decision making']","['communication', 'creativity', 'attention to detail']","['copywriting', 'campaign management', 'valuation', 'statistics', 'excel']","['copywriting', 'crm', 'campaign management']","['campaign management', 'attention to detail', 'copywriting', 'creativity', 'communication']",['crm'],0.87
"education: bachelor's in law experience: 9 years skills: professionalism, team work, litigation, empathy, criminal law, regulatory compliance, legal drafting, case documentation, patent law",prosecutor,bachelor's in law,law_and_public_services,bachelor's in law|law certification,"['team work', 'professionalism', 'empathy']","['empathy', 'analytical skills']","['legal drafting', 'regulatory compliance', 'patent law', 'case documentation', 'criminal law', 'litigation']","['criminal law', 'litigation', 'case documentation']","['litigation', 'case documentation', 'empathy', 'criminal law']",['analytical skills'],0.84
"education: diploma in legal studies experience: 4 years skills: communication, business acumen, time management, decision making, policy knowledge, document preparation, litigation",public relations officer,diploma in legal studies,law_and_public_services,bachelor's in public administration|public service certification,"['business acumen', 'time management', 'communication', 'decision making']","['communication', 'decision making', 'professionalism', 'team work']","['document preparation', 'policy knowledge', 'litigation']","['document preparation', 'policy knowledge']","['decision making', 'document preparation', 'communication', 'policy knowledge']","['professionalism', 'team work']",0.53
"education: bachelor's in accounting experience: 6 years skills: copywriting, excel, precision, accounting, financial analysis, empathy, judgment",tax specialist,bachelor's in accounting,economy,bachelor's in accounting,"['judgment', 'precision', 'empathy']","['precision', 'judgment', 'responsibility']","['excel', 'financial analysis', 'accounting', 'copywriting']","['accounting', 'financial analysis', 'excel']","['excel', 'precision', 'judgment', 'accounting', 'financial analysis']",['responsibility'],0.87
"education: bachelor's in marketing experience: 2 years skills: decision making, brand strategy, creativity, campaign management, budget control, motivation, copywriting, collaboration, seo, strategic thinking",digital marketing manager,bachelor's in marketing,economy,bachelor's in marketing,"['creativity', 'collaboration', 'strategic thinking', 'decision making', 'budget control', 'motivation']","['strategic thinking', 'creativity', 'collaboration']","['seo', 'campaign management', 'brand strategy', 'copywriting']","['seo', 'campaign management', 'brand strategy']","['seo', 'campaign management', 'strategic thinking', 'collaboration', 'creativity', 'brand strategy']",[],1.0
"education: bachelor's in public administration experience: 8 years skills: regulatory compliance, legal drafting, legal research, strategic thinking, precision, empathy, motivation, professionalism, business acumen, policy knowledge",public administrator,bachelor's in public administration,law_and_public_services,bachelor's in public administration|public service certification,"['strategic thinking', 'empathy', 'business acumen', 'precision', 'motivation', 'professionalism']","['strategic thinking', 'motivation', 'precision', 'communication']","['legal drafting', 'legal research', 'policy knowledge', 'regulatory compliance']","['regulatory compliance', 'policy knowledge', 'public administration']","['policy knowledge', 'strategic thinking', 'precision', 'motivation', 'regulatory compliance']","['communication', 'public administration']",0.77
"education: bachelor's in computer science experience: 7 years skills: analysis, networking, mysql, creativity, rest api, node.js",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['creativity', 'analysis']","['adaptability', 'creativity', 'communication']","['rest api', 'mysql', 'networking', 'node.js']","['java', 'rest api', 'mysql']","['creativity', 'mysql', 'rest api']","['java', 'adaptability', 'communication']",0.6
"education: bachelor's in electronics engineering experience: 5 years skills: ansible, embedded linux, hardware, real-time systems, low-level programming, c/c++, microcontrollers, javascript",embedded systems engineer,bachelor's in electronics engineering,engineering,bachelor's in electronics engineering,"['time management', 'problem solving']","['teamwork', 'critical thinking', 'time management', 'problem solving']",['microcontrollers'],['microcontrollers'],"['time management', 'problem solving', 'microcontrollers']","['teamwork', 'critical thinking']",0.68
"education: bachelor's in graphic design experience: 5 years skills: 3d modeling, figma, judgment, ethics, adobe creative suite, wireframing, friendlinessorganization, critical thinking",brand designer,bachelor's in graphic design,creative_design,bachelor's in graphic design|creative design certification,"['friendlinessorganization', 'critical thinking', 'judgment', 'ethics']","['judgment', 'communication']","['adobe creative suite', 'wireframing', '3d modeling', 'figma']","['adobe creative suite', 'figma', 'graphic design']","['judgment', 'figma', 'adobe creative suite']","['communication', 'graphic design']",0.68
"education: bachelor's in computer science experience: 4 years skills: pandas, postgresql, symfony, html/css, time management, api development, mysql, laravel",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'communication', 'adaptability']","['adaptability', 'problem solving']","['mysql', 'php']","['mysql', 'php']","['mysql', 'adaptability', 'php']",['problem solving'],0.8
"education: bachelor's in civil engineering experience: 10 years skills: vehicle systems, analysis, building codes, critical thinking, creativity, technical drawing",geotechnical engineer,bachelor's in civil engineering,engineering,bachelor's in civil engineering,"['analysis', 'critical thinking', 'creativity']","['analysis', 'critical thinking', 'precision']","['technical drawing', 'building codes', 'vehicle systems']","['structural analysis', 'building codes', 'technical drawing']","['building codes', 'technical drawing', 'critical thinking', 'analysis']","['precision', 'structural analysis']",0.73
"education: bachelor's in computer science experience: 7 years skills: strategic thinking, adaptability, python, sql, javascript, negotiation, problem solving, rest api, decision making, mysql",python developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'strategic thinking', 'decision making', 'negotiation']","['problem solving', 'analysis', 'adaptability']","['sql', 'rest api', 'javascript', 'python', 'mysql']","['python', 'sql', 'rest api']","['adaptability', 'python', 'sql', 'rest api', 'problem solving']",['analysis'],0.87
"education: bachelor's in information technology experience: 6 years skills: storytelling, decision making, php, python, collaboration, mysql, communication, team work, rest api",php developer,bachelor's in information technology,technology,bachelor's in information technology,"['communication', 'collaboration', 'storytelling', 'decision making', 'team work']","['communication', 'adaptability', 'collaboration']","['php', 'mysql', 'rest api', 'python']","['php', 'mysql', 'rest api']","['mysql', 'collaboration', 'rest api', 'communication', 'php']",['adaptability'],0.87
"education: bachelor's in law experience: 10 years skills: team work, legal drafting, criminal law, adaptability, public speaking, business acumen, ethics, corporate law, attention to detail, case documentation",detective,bachelor's in law,law_and_public_services,bachelor's in criminology|public service certification,"['adaptability', 'public speaking', 'attention to detail', 'business acumen', 'team work', 'ethics']","['business acumen', 'ethics', 'public speaking', 'strategic thinking']","['legal drafting', 'criminal law', 'case documentation', 'corporate law']","['case documentation', 'criminal law', 'investigation']","['ethics', 'public speaking', 'case documentation', 'business acumen', 'criminal law']","['strategic thinking', 'investigation']",0.57
"education: bachelor's in computer science experience: 10 years skills: microservices, cybersecurity, mysql, java, critical thinking, analytical skills, python, rest api",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'analytical skills']","['critical thinking', 'teamwork', 'problem solving']","['rest api', 'microservices', 'java', 'cybersecurity', 'python', 'mysql']","['java', 'microservices', 'rest api']","['java', 'rest api', 'critical thinking', 'microservices']","['teamwork', 'problem solving']",0.73
"education: creative design certification experience: 2 years skills: storytelling, analysis, strategic thinking, rendering, adobe creative suite, wireframing, graphic design, ux design",brand designer,creative design certification,creative_design,bachelor's in graphic design|creative design certification,"['analysis', 'strategic thinking', 'storytelling']","['analysis', 'ethics']","['graphic design', 'ux design', 'adobe creative suite', 'rendering', 'wireframing']","['adobe creative suite', 'graphic design', 'figma']","['graphic design', 'analysis', 'adobe creative suite']","['figma', 'ethics']",0.68
"education: bachelor's in accounting experience: 3 years skills: creativity, accounting, leadership, excel, audit procedures, precision, financial modeling, market analysis",controller,bachelor's in accounting,economy,bachelor's in accounting|master's in finance,"['precision', 'leadership', 'creativity']","['leadership', 'budget control', 'precision']","['financial modeling', 'excel', 'accounting', 'market analysis', 'audit procedures']","['accounting', 'financial modeling', 'excel']","['excel', 'financial modeling', 'precision', 'accounting', 'leadership']",['budget control'],0.87
"education: bachelor's in civil engineering experience: 8 years skills: structural analysis, building codes, planning, aerodynamics, precision, critical thinking, technical drawing",geotechnical engineer,bachelor's in civil engineering,engineering,bachelor's in civil engineering,"['critical thinking', 'precision', 'planning']","['analysis', 'critical thinking', 'precision']","['structural analysis', 'building codes', 'technical drawing', 'aerodynamics']","['structural analysis', 'building codes', 'technical drawing']","['technical drawing', 'precision', 'structural analysis', 'critical thinking', 'building codes']",['analysis'],0.87
"education: bachelor's in accounting experience: 10 years skills: accounting, budget control, leadership, valuation, excel, decision making, financial modeling",controller,bachelor's in accounting,economy,bachelor's in accounting|master's in finance,"['leadership', 'budget control', 'decision making']","['leadership', 'budget control', 'precision']","['excel', 'accounting', 'financial modeling', 'valuation']","['accounting', 'financial modeling', 'excel']","['excel', 'financial modeling', 'accounting', 'leadership', 'budget control']",['precision'],0.87
"education: bachelor's in graphic design experience: 2 years skills: project management, video production, budget control, wireframing, texturing, lighting, adobe creative suite",photographer,bachelor's in graphic design,creative_design,diploma in multimedia design|creative design certification,"['project management', 'budget control']","['budget control', 'empathy']","['adobe creative suite', 'video production', 'lighting', 'texturing', 'wireframing']","['lighting', 'adobe creative suite', 'graphic design']","['lighting', 'budget control', 'adobe creative suite']","['graphic design', 'empathy']",0.48
"education: bachelor's in finance experience: 1 years skills: marketing, financial analysis, excel, react native, risk assessment, budget planning, docker, forecasting",budget analyst,bachelor's in finance,economy,bachelor's in finance,"['financial analysis', 'budget planning']","['financial analysis', 'budget planning']",['excel'],['excel'],"['budget planning', 'financial analysis', 'excel']",[],1.0
"education: bachelor's in computer science experience: 3 years skills: kotlin, android sdk, user experience, gcp, xml, seo, rest api, mobile design",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication', 'teamwork']","['teamwork', 'adaptability', 'critical thinking']","['rest api', 'java']","['rest api', 'java']","['java', 'adaptability', 'teamwork', 'rest api']",['critical thinking'],0.84
"education: bachelor's in multimedia experience: 0 years skills: quick thinking, precision, lighting, web design, target setting, adobe creative suite, wireframing, communication, prototyping",videographer,bachelor's in multimedia,creative_design,diploma in multimedia design|creative design certification,"['quick thinking', 'precision', 'target setting', 'communication']","['precision', 'quick thinking', 'communication', 'awareness']","['prototyping', 'adobe creative suite', 'web design', 'lighting', 'wireframing']","['lighting', 'adobe creative suite', 'video production']","['quick thinking', 'adobe creative suite', 'lighting', 'precision', 'communication']","['awareness', 'video production']",0.57
"education: bachelor's in mechatronics engineering experience: 0 years skills: matlab, budget control, aerodynamics, microcontrollers, problem solving, professionalism, critical thinking, electrical systems",mechatronics engineer,bachelor's in mechatronics engineering,engineering,bachelor's in mechatronics engineering,"['problem solving', 'professionalism', 'budget control', 'critical thinking']","['problem solving', 'adaptability', 'communication']","['electrical systems', 'microcontrollers', 'aerodynamics', 'matlab']","['embedded systems', 'electrical systems', 'microcontrollers']","['electrical systems', 'problem solving', 'microcontrollers']","['embedded systems', 'adaptability', 'communication']",0.6
"education: bachelor's in accounting experience: 4 years skills: accounting, seo, excel, professionalism, responsibility, team work, judgment",tax specialist,bachelor's in accounting,economy,bachelor's in accounting,"['judgment', 'responsibility', 'team work', 'professionalism']","['precision', 'judgment', 'responsibility']","['accounting', 'excel', 'seo']","['accounting', 'financial analysis', 'excel']","['judgment', 'responsibility', 'excel', 'accounting']","['financial analysis', 'precision']",0.73
"education: bachelor's in environmental engineering experience: 2 years skills: awareness, electrical systems, technical drawing, strategic planning, process design, teamwork",environmental engineer,bachelor's in environmental engineering,engineering,bachelor's in environmental engineering,"['awareness', 'teamwork', 'strategic planning']","['awareness', 'ethics', 'collaboration']","['process design', 'technical drawing', 'electrical systems']","['process design', 'matlab', 'technical drawing']","['awareness', 'process design', 'technical drawing']","['collaboration', 'ethics', 'matlab']",0.6
"education: bachelor's in economics experience: 3 years skills: risk analysis, python, oracle, statistics, valuation, excel, financial modeling, jupyter",financial analyst,bachelor's in economics,economy,bachelor's in finance,['risk analysis'],['risk analysis'],"['statistics', 'python', 'excel', 'valuation', 'financial modeling']","['statistics', 'python', 'excel', 'valuation', 'financial modeling']","['statistics', 'python', 'excel', 'valuation', 'financial modeling', 'risk analysis']",[],0.8
"education: diploma in multimedia design experience: 8 years skills: prototyping, professionalism, motivation, figma, strategic thinking, public speaking, ux design, strategic planning",product designer,diploma in multimedia design,creative_design,bachelor's in visual communication design|bachelor's in multimedia,"['strategic thinking', 'strategic planning', 'public speaking', 'motivation', 'professionalism']","['strategic planning', 'strategic thinking', 'quick thinking']","['prototyping', 'ux design', 'figma']","['figma', 'prototyping', 'ui design']","['prototyping', 'figma', 'strategic thinking', 'strategic planning']","['ui design', 'quick thinking']",0.53
"education: law certification experience: 1 years skills: regulatory compliance, responsibility, storytelling, emergency response, precision, legal research, analytical skills, document preparation",legal auditor,law certification,law_and_public_services,bachelor's in law|law certification,"['responsibility', 'storytelling', 'precision', 'analytical skills']","['analytical skills', 'collaboration']","['document preparation', 'legal research', 'emergency response']","['document preparation', 'legal research', 'regulatory compliance']","['document preparation', 'analytical skills', 'legal research']","['collaboration', 'regulatory compliance']",0.68
"education: bachelor's in mathematics experience: 3 years skills: sql, docker, machine learning, tensorflow, python, data analysis, technical writing, statistics",data scientist,bachelor's in mathematics,technology,bachelor's in mathematics,['data analysis'],['data analysis'],"['python', 'sql', 'tensorflow', 'docker', 'microservices']","['python', 'sql', 'tensorflow']","['data analysis', 'python', 'sql', 'tensorflow']",[],1.0
"education: it certification experience: 3 years skills: docker, encryption, tensorflow, scripting, teamwork, aws, linux, numpy",devops engineer,information technology certification,technology,bachelor's in computer science,"['teamwork', 'collaboration', 'problem solving']","['teamwork', 'communication', 'collaboration', 'problem solving']","['linux', 'tensorflow', 'docker']","['linux', 'docker']","['linux', 'docker', 'collaboration', 'teamwork', 'problem solving']",['communication'],0.67
