resume_id,resume_text,skills,job_role,education,category,required_skills,education_requirement,soft_skills_user,hard_skills_user,soft_skills_req,hard_skills_req,soft_skills_match,hard_skills_match,match_score,skill_gap,matched_skills
r000014,"education: bachelor's in computer science experience: 3 years skills: account management, problem solving, client relations, python, communication, business acumen, technical knowledge, product knowledge","['communication', 'problem solving', 'product knowledge', 'account management']",technical account manager,bachelor's in computer science,technology,"['account management', 'technical knowledge', 'communication', 'problem solving', 'client relations', 'product knowledge']",bachelor's in computer science,"['problem solving', 'communication']","['account management', 'client relations', 'python', 'business acumen', 'technical knowledge', 'product knowledge']","['communication', 'problem solving']","['account management', 'technical knowledge', 'client relations', 'product knowledge']","['communication', 'problem solving']","['account management', 'technical knowledge', 'product knowledge', 'client relations']",0.7599999999999999,"['technical knowledge', 'client relations']","['account management', 'communication', 'product knowledge', 'problem solving']"
r000015,"education: it certification experience: 3 years skills: creativity, scala, tableau, technical expertise, system design, it knowledge, communication, problem solving","['tableau', 'problem solving', 'system design', 'project management']",it consultant,information technology certification,consulting,"['it knowledge', 'problem solving', 'communication', 'system design', 'project management', 'technical expertise']",bachelor's in computer science|information technology certification,"['creativity', 'communication', 'problem solving']","['scala', 'tableau', 'technical expertise', 'system design', 'it knowledge', 'project management']","['problem solving', 'communication']","['it knowledge', 'system design', 'project management', 'technical expertise']","['communication', 'problem solving']","['system design', 'project management', 'it knowledge', 'technical expertise']",0.7599999999999999,"['communication', 'it knowledge', 'technical expertise']","['system design', 'problem solving', 'project management']"
r000016,"education: bachelor's in computer science experience: 3 years skills: nosql, scalability, performance, cassandra, distributed systems, cql, perl, strategic planning","['penetration testing', 'perl', 'technical writing', 'cassandra', 'strategic planning']",cassandra developer,bachelor's in computer science,technology,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",bachelor's in computer science,[],"['nosql', 'scalability', 'performance', 'cassandra', 'distributed systems', 'cql', 'perl', 'strategic planning', 'technical writing', 'penetration testing']",[],"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",[],"['nosql', 'performance', 'cassandra', 'scalability', 'distributed systems', 'cql']",0.6,"['nosql', 'performance', 'scalability', 'distributed systems', 'cql']",['cassandra']
r000017,"education: engineering license experience: 5 years skills: adobe creative suite, electrical systems, management, safety, problem solving, ios, financial analysis, project management","['ios', 'safety', 'adobe creative suite', 'management', 'regulatory knowledge']",electrical utilities manager,engineering license,energy & utilities,"['electrical systems', 'management', 'safety', 'regulatory knowledge', 'problem solving', 'leadership']",bachelor's in electrical engineering|engineering license,"['problem solving', 'leadership']","['adobe creative suite', 'electrical systems', 'management', 'safety', 'ios', 'financial analysis', 'project management', 'pytorch', 'regulatory knowledge']","['problem solving', 'leadership']","['electrical systems', 'management', 'safety', 'regulatory knowledge']","['problem solving', 'leadership']","['management', 'electrical systems', 'safety', 'regulatory knowledge']",0.7599999999999999,"['problem solving', 'electrical systems', 'leadership']","['safety', 'management', 'regulatory knowledge']"
r000018,"education: beauty school experience: 2 years skills: aws, nail care, jenkins, artistry, sanitation, customer service, precision, communication","['artistry', 'sanitation', 'aws', 'jenkins']",nail technician,beauty school,beauty & wellness,"['nail care', 'artistry', 'customer service', 'precision', 'sanitation', 'communication']",beauty school|license,['communication'],"['aws', 'nail care', 'jenkins', 'artistry', 'sanitation', 'customer service', 'precision', 'business acumen']",['communication'],"['nail care', 'artistry', 'customer service', 'precision', 'sanitation']",['communication'],"['artistry', 'nail care', 'precision', 'sanitation', 'customer service']",0.7333333333333334,"['customer service', 'nail care', 'communication', 'precision']","['artistry', 'sanitation']"
r000019,"education: experience experience: 1 years skills: business skills, health knowledge, leadership, responsive design, equipment, problem solving, livestock care, postgresql","['leadership', 'equipment', 'responsive design', 'health knowledge']",livestock manager,experience,agriculture,"['livestock care', 'health knowledge', 'equipment', 'problem solving', 'leadership', 'business skills']",agriculture program|experience,"['leadership', 'problem solving']","['business skills', 'health knowledge', 'responsive design', 'equipment', 'livestock care', 'postgresql', 'network security']","['problem solving', 'leadership']","['livestock care', 'health knowledge', 'equipment', 'business skills']","['problem solving', 'leadership']","['health knowledge', 'livestock care', 'equipment', 'business skills']",0.7599999999999999,"['business skills', 'livestock care', 'problem solving']","['health knowledge', 'equipment', 'leadership']"
r000020,"education: bachelor's in statistics experience: 3 years skills: problem solving, data management, django, visualization, serverless, sas, sql, statistical analysis","['sql', 'serverless', 'statistical analysis', 'visualization']",sas programmer,bachelor's in statistics,data & analytics,"['sas', 'statistical analysis', 'data management', 'visualization', 'sql', 'problem solving']",bachelor's in statistics|sas certification,['problem solving'],"['data management', 'django', 'visualization', 'serverless', 'sas', 'sql', 'statistical analysis']",['problem solving'],"['sas', 'statistical analysis', 'data management', 'visualization', 'sql']",['problem solving'],"['sas', 'sql', 'statistical analysis', 'data management', 'visualization']",0.7333333333333334,"['data management', 'problem solving', 'sas']","['sql', 'visualization', 'statistical analysis']"
r000021,"education: bachelor's in 3d art experience: 2 years skills: creativity, app testing, software skills, rendering, html, texturing, 3d modeling, adobe creative suite","['texturing', 'creativity', 'rendering', 'html']",3d artist,bachelor's in 3d art,creative & design,"['3d modeling', 'texturing', 'rendering', 'software skills', 'creativity', 'problem solving']",bachelor's in 3d art|certification,"['creativity', 'problem solving']","['app testing', 'software skills', 'rendering', 'html', 'texturing', '3d modeling', 'adobe creative suite']","['creativity', 'problem solving']","['3d modeling', 'texturing', 'rendering', 'software skills']","['creativity', 'problem solving']","['3d modeling', 'texturing', 'software skills', 'rendering']",0.7599999999999999,"['3d modeling', 'software skills', 'problem solving']","['creativity', 'texturing', 'rendering']"
r000022,"education: esthetics school experience: 4 years skills: deep learning, technical skills, facial treatment, skincare, communication, business development, mysql, customer service","['communication', 'mysql', 'product knowledge', 'facial treatment', 'customer service']",esthetician,esthetics school,beauty & wellness,"['skincare', 'facial treatment', 'customer service', 'product knowledge', 'communication', 'technical skills']",esthetics school|license,['communication'],"['deep learning', 'technical skills', 'facial treatment', 'skincare', 'business development', 'mysql', 'customer service', 'react native', 'product knowledge']",['communication'],"['skincare', 'facial treatment', 'customer service', 'product knowledge', 'technical skills']",['communication'],"['skincare', 'product knowledge', 'customer service', 'technical skills', 'facial treatment']",0.7333333333333334,"['technical skills', 'skincare']","['customer service', 'communication', 'product knowledge', 'facial treatment']"
r000023,"education: bachelor's in computer science experience: 3 years skills: sql, analytics, react, dbt, cloud platforms, documentation, pandas, creativity","['mongodb', 'documentation', 'cloud platforms', 'react', 'creativity']",analytics engineer,bachelor's in computer science,data & analytics,"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",bachelor's in engineering|bachelor's in computer science,['creativity'],"['sql', 'analytics', 'react', 'dbt', 'cloud platforms', 'documentation', 'pandas', 'mongodb', 'data modeling', 'python']",[],"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",[],"['cloud platforms', 'python', 'sql', 'data modeling', 'dbt', 'analytics']",0.6,"['python', 'sql', 'data modeling', 'dbt', 'analytics']",['cloud platforms']
r000024,"education: bachelor's in it experience: 3 years skills: informatica, performance tuning, sql, react, gcp, data integration, etl, data quality","['react', 'wireframing', 'informatica', 'gcp']",informatica developer,bachelor's in information technology,data & analytics,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",bachelor's in information technology,[],"['informatica', 'performance tuning', 'sql', 'react', 'gcp', 'data integration', 'etl', 'data quality', 'wireframing']",[],"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",[],"['data quality', 'etl', 'sql', 'data integration', 'informatica', 'performance tuning']",0.6,"['data quality', 'etl', 'sql', 'data integration', 'performance tuning']",['informatica']
r000025,"education: bachelor's in statistics experience: 0 years skills: terraform, sql, python, excel, mongodb, statistical analysis, data visualization, rest api","['project management', 'excel', 'python', 'mongodb', 'html']",data analyst,bachelor's in statistics,data & analytics,"['sql', 'python', 'excel', 'tableau', 'data visualization', 'statistical analysis']",bachelor's in mathematics|bachelor's in statistics,[],"['terraform', 'sql', 'python', 'excel', 'mongodb', 'statistical analysis', 'data visualization', 'rest api', 'tableau', 'html', 'project management']",[],"['sql', 'python', 'excel', 'tableau', 'data visualization', 'statistical analysis']",[],"['python', 'sql', 'data visualization', 'tableau', 'statistical analysis', 'excel']",0.6,"['statistical analysis', 'sql', 'data visualization', 'tableau']","['excel', 'python']"
r000026,"education: doctor of pharmacy experience: 4 years skills: patient counseling, attention to detail, microservices, firewalls, pharmacy knowledge, communication, mysql, drug interactions","['drug interactions', 'microservices', 'pharmacy knowledge', 'accuracy']",pharmacist,doctor of pharmacy,healthcare,"['pharmacy knowledge', 'patient counseling', 'drug interactions', 'attention to detail', 'communication', 'accuracy']",doctor of pharmacy|pharmacy license,"['attention to detail', 'communication']","['patient counseling', 'microservices', 'firewalls', 'pharmacy knowledge', 'mysql', 'drug interactions', 'accuracy']","['attention to detail', 'communication']","['pharmacy knowledge', 'patient counseling', 'drug interactions', 'accuracy']","['communication', 'attention to detail']","['pharmacy knowledge', 'drug interactions', 'patient counseling', 'accuracy']",0.7599999999999999,"['communication', 'attention to detail', 'patient counseling']","['drug interactions', 'pharmacy knowledge', 'accuracy']"
r000027,"education: bachelor's in computer science experience: 5 years skills: api development, go, pytorch, concurrency, scrum, swift, problem solving, responsive design","['responsive design', 'swift', 'microservices', 'api development', 'concurrency']",go developer,bachelor's in computer science,technology,"['go', 'microservices', 'api development', 'concurrency', 'docker', 'problem solving']",bachelor's in computer science,['problem solving'],"['api development', 'go', 'pytorch', 'concurrency', 'scrum', 'swift', 'responsive design', 'web accessibility', 'docker', 'microservices']",['problem solving'],"['go', 'microservices', 'api development', 'concurrency', 'docker']",['problem solving'],"['concurrency', 'microservices', 'api development', 'docker', 'go']",0.7333333333333334,"['go', 'problem solving', 'docker']","['concurrency', 'microservices', 'api development']"
r000028,"education: bachelor's in environmental science experience: 3 years skills: conservation, problem solving, user experience, environmental knowledge, safety, law enforcement, creativity, penetration testing","['creativity', 'budget management', 'user experience', 'communication', 'safety']",conservation officer,bachelor's in environmental science,conservation,"['conservation', 'law enforcement', 'environmental knowledge', 'problem solving', 'communication', 'safety']",bachelor's in environmental science,"['problem solving', 'creativity', 'communication']","['conservation', 'user experience', 'environmental knowledge', 'safety', 'law enforcement', 'penetration testing', 'node.js', 'budget management']","['problem solving', 'communication']","['conservation', 'law enforcement', 'environmental knowledge', 'safety']","['communication', 'problem solving']","['safety', 'conservation', 'environmental knowledge', 'law enforcement']",0.7599999999999999,"['law enforcement', 'conservation', 'environmental knowledge', 'problem solving']","['safety', 'communication']"
r000029,"education: master's in business experience: 8 years skills: user experience, department management, leadership, gcp, decision making, strategic planning, budget control, graphql","['gcp', 'database design', 'communication', 'budget control', 'leadership']",director,master's in business,private sector management,"['strategic planning', 'leadership', 'department management', 'budget control', 'decision making', 'communication']",bachelor's in business|master's in business,"['leadership', 'decision making', 'communication']","['user experience', 'department management', 'gcp', 'strategic planning', 'budget control', 'graphql', 'database design']","['leadership', 'decision making', 'communication']","['strategic planning', 'department management', 'budget control']","['communication', 'decision making', 'leadership']","['department management', 'budget control', 'strategic planning']",0.7499999999999999,"['department management', 'strategic planning', 'decision making']","['budget control', 'communication', 'leadership']"
r000030,"education: bachelor's in production experience: 2 years skills: technical knowledge, communication, problem solving, creativity, leadership, negotiation, production management, angular","['technical knowledge', 'production management', 'communication', 'angular']",producer,bachelor's in production,entertainment & media,"['production management', 'leadership', 'technical knowledge', 'problem solving', 'communication', 'creativity']",bachelor's in production|bachelor's in communications,"['communication', 'problem solving', 'creativity', 'leadership']","['technical knowledge', 'negotiation', 'production management', 'angular']","['leadership', 'problem solving', 'communication', 'creativity']","['production management', 'technical knowledge']","['creativity', 'communication', 'leadership', 'problem solving']","['technical knowledge', 'production management']",0.7066666666666666,"['creativity', 'problem solving', 'leadership']","['technical knowledge', 'communication', 'production management']"
r000031,"education: bachelor's in game development experience: 2 years skills: game physics, c++, sql, penetration testing, app testing, graphics programming, unreal engine, unity","['c++', 'unreal engine', 'html', 'c#', 'app testing']",game developer,bachelor's in game development,technology,"['unity', 'unreal engine', 'c#', 'c++', 'game physics', 'graphics programming']",bachelor's in game development|bachelor's in computer science,['time management'],"['game physics', 'c++', 'sql', 'penetration testing', 'app testing', 'graphics programming', 'unreal engine', 'unity', 'html', 'c#']",[],"['unity', 'unreal engine', 'c#', 'c++', 'game physics', 'graphics programming']",[],"['graphics programming', 'game physics', 'unreal engine', 'c#', 'c++', 'unity']",0.6,"['game physics', 'unity', 'graphics programming']","['c#', 'c++', 'unreal engine']"
r000032,"education: bachelor's in geology experience: 3 years skills: research, analysis, technical knowledge, tensorflow, negotiation, field work, html, geology","['technical knowledge', 'geology', 'field work', 'tensorflow']",geologist,bachelor's in geology,science & research,"['geology', 'field work', 'analysis', 'research', 'problem solving', 'technical knowledge']",bachelor's in geology,['problem solving'],"['research', 'analysis', 'technical knowledge', 'tensorflow', 'negotiation', 'field work', 'html', 'geology']",['problem solving'],"['geology', 'field work', 'analysis', 'research', 'technical knowledge']",['problem solving'],"['research', 'field work', 'analysis', 'technical knowledge', 'geology']",0.7333333333333334,"['research', 'analysis', 'problem solving']","['field work', 'technical knowledge', 'geology']"
r000033,"education: teaching credential experience: 1 years skills: patience, figma, instruction, html, classroom management, market research, communication, curriculum development","['html', 'market research', 'classroom management', 'figma']",teacher,teaching credential,education & training,"['instruction', 'curriculum development', 'student assessment', 'communication', 'classroom management', 'patience']",bachelor's in education|teaching credential,['communication'],"['patience', 'figma', 'instruction', 'html', 'classroom management', 'market research', 'curriculum development', 'student assessment']",['communication'],"['instruction', 'curriculum development', 'student assessment', 'classroom management', 'patience']",['communication'],"['instruction', 'patience', 'curriculum development', 'classroom management', 'student assessment']",0.7333333333333334,"['instruction', 'patience', 'curriculum development', 'student assessment', 'communication']",['classroom management']
r000034,"education: bachelor's in journalism experience: 1 years skills: business acumen, android, attention to detail, documentation, technical writing, content editing, communication, organization","['documentation', 'technical writing', 'organization', 'communication', 'android']",editor,bachelor's in journalism,entertainment & media,"['content editing', 'writing', 'organization', 'attention to detail', 'communication', 'management']",bachelor's in english|bachelor's in journalism,"['attention to detail', 'communication']","['business acumen', 'android', 'documentation', 'technical writing', 'content editing', 'organization', 'writing', 'management']","['attention to detail', 'communication']","['content editing', 'writing', 'organization', 'management']","['communication', 'attention to detail']","['management', 'writing', 'organization', 'content editing']",0.7599999999999999,"['writing', 'management', 'attention to detail', 'content editing']","['communication', 'organization']"
r000035,"education: bachelor's in engineering experience: 3 years skills: communication, customer relations, sales, product knowledge, technical problem solving, presentation, solution design, adaptability","['customer relations', 'solution design', 'c#', 'seo', 'communication']",solutions engineer,bachelor's in engineering,technology,"['technical problem solving', 'solution design', 'communication', 'customer relations', 'product knowledge', 'presentation']",bachelor's in computer science|bachelor's in engineering,"['communication', 'adaptability']","['customer relations', 'sales', 'product knowledge', 'technical problem solving', 'presentation', 'solution design', 'c#', 'seo']",['communication'],"['technical problem solving', 'solution design', 'customer relations', 'product knowledge', 'presentation']",['communication'],"['product knowledge', 'solution design', 'customer relations', 'presentation', 'technical problem solving']",0.7333333333333334,"['presentation', 'technical problem solving', 'product knowledge']","['customer relations', 'communication', 'solution design']"
r000036,"education: bachelor's in marketing experience: 4 years skills: sales, automation platforms, segmentation, copywriting, a/b testing, analytics, azure, email campaign management","['segmentation', 'a/b testing', 'sales', 'analytics']",email marketing specialist,bachelor's in marketing,marketing & sales,"['email campaign management', 'segmentation', 'a/b testing', 'analytics', 'copywriting', 'automation platforms']",bachelor's in marketing,[],"['sales', 'automation platforms', 'segmentation', 'copywriting', 'a/b testing', 'analytics', 'azure', 'email campaign management']",[],"['email campaign management', 'segmentation', 'a/b testing', 'analytics', 'copywriting', 'automation platforms']",[],"['segmentation', 'copywriting', 'a/b testing', 'email campaign management', 'analytics', 'automation platforms']",0.6,"['email campaign management', 'copywriting', 'automation platforms']","['segmentation', 'a/b testing', 'analytics']"
r000037,"education: bachelor's in operations experience: 3 years skills: safety, postgresql, equipment maintenance, problem solving, communication, staff management, production planning, quality control","['equipment maintenance', 'postgresql', 'communication', 'quality control']",production manager,bachelor's in operations,operations & supply chain,"['production planning', 'staff management', 'quality control', 'equipment maintenance', 'safety', 'problem solving']",bachelor's in engineering|bachelor's in operations,"['problem solving', 'communication']","['safety', 'postgresql', 'equipment maintenance', 'staff management', 'production planning', 'quality control']",['problem solving'],"['production planning', 'staff management', 'quality control', 'equipment maintenance', 'safety']",['problem solving'],"['quality control', 'equipment maintenance', 'production planning', 'safety', 'staff management']",0.7333333333333334,"['production planning', 'safety', 'staff management', 'problem solving']","['equipment maintenance', 'quality control']"
r000038,"education: bachelor's in computer engineering experience: 5 years skills: sensors, iot technology, system design, p&l management, embedded systems, ci/cd, mysql, aws","['adaptability', 'system design', 'embedded systems', 'aws', 'p&l management']",iot engineer,bachelor's in computer engineering,technology,"['iot technology', 'embedded systems', 'networking', 'c/c++', 'sensors', 'system design']",bachelor's in electronics|bachelor's in computer engineering,['adaptability'],"['sensors', 'iot technology', 'system design', 'p&l management', 'embedded systems', 'ci/cd', 'mysql', 'aws', 'c/c++', 'networking']",[],"['iot technology', 'embedded systems', 'networking', 'c/c++', 'sensors', 'system design']",[],"['embedded systems', 'sensors', 'networking', 'iot technology', 'c/c++', 'system design']",0.6,"['sensors', 'iot technology', 'c/c++', 'networking']","['system design', 'embedded systems']"
