resume_id,resume_text,skills,job_role,education,category,required_skills,education_requirement
r000015,"education: it certification experience: 3 years skills: creativity, scala, tableau, technical expertise, system design, it knowledge, communication, problem solving","['creativity', 'scala', 'tableau', 'technical expertise', 'system design', 'it knowledge', 'communication', 'problem solving', 'project management']",it consultant,information technology certification,consulting,"['it knowledge', 'problem solving', 'communication', 'system design', 'project management', 'technical expertise']",bachelor's in computer science|information technology certification
r000016,"education: bachelor's in computer science experience: 3 years skills: nosql, scalability, performance, cassandra, distributed systems, cql, perl, strategic planning","['nosql', 'scalability', 'performance', 'cassandra', 'distributed systems', 'cql', 'perl', 'strategic planning', 'technical writing', 'penetration testing']",cassandra developer,bachelor's in computer science,technology,"['cassandra', 'nosql', 'distributed systems', 'cql', 'scalability', 'performance']",bachelor's in computer science
r000017,"education: engineering license experience: 5 years skills: adobe creative suite, electrical systems, management, safety, problem solving, ios, financial analysis, project management","['adobe creative suite', 'electrical systems', 'management', 'safety', 'problem solving', 'ios', 'financial analysis', 'project management', 'leadership', 'pytorch', 'regulatory knowledge']",electrical utilities manager,engineering license,energy & utilities,"['electrical systems', 'management', 'safety', 'regulatory knowledge', 'problem solving', 'leadership']",bachelor's in electrical engineering|engineering license
r000018,"education: beauty school experience: 2 years skills: aws, nail care, jenkins, artistry, sanitation, customer service, precision, communication","['aws', 'nail care', 'jenkins', 'artistry', 'sanitation', 'customer service', 'precision', 'communication', 'business acumen']",nail technician,beauty school,beauty & wellness,"['nail care', 'artistry', 'customer service', 'precision', 'sanitation', 'communication']",beauty school|license
r000019,"education: experience experience: 1 years skills: business skills, health knowledge, leadership, responsive design, equipment, problem solving, livestock care, postgresql","['business skills', 'health knowledge', 'leadership', 'responsive design', 'equipment', 'problem solving', 'livestock care', 'postgresql', 'network security']",livestock manager,experience,agriculture,"['livestock care', 'health knowledge', 'equipment', 'problem solving', 'leadership', 'business skills']",agriculture program|experience
r000020,"education: bachelor's in statistics experience: 3 years skills: problem solving, data management, django, visualization, serverless, sas, sql, statistical analysis","['problem solving', 'data management', 'django', 'visualization', 'serverless', 'sas', 'sql', 'statistical analysis']",sas programmer,bachelor's in statistics,data & analytics,"['sas', 'statistical analysis', 'data management', 'visualization', 'sql', 'problem solving']",bachelor's in statistics|sas certification
r000021,"education: bachelor's in 3d art experience: 2 years skills: creativity, app testing, software skills, rendering, html, texturing, 3d modeling, adobe creative suite","['creativity', 'app testing', 'software skills', 'rendering', 'html', 'texturing', '3d modeling', 'adobe creative suite', 'problem solving']",3d artist,bachelor's in 3d art,creative & design,"['3d modeling', 'texturing', 'rendering', 'software skills', 'creativity', 'problem solving']",bachelor's in 3d art|certification
r000022,"education: esthetics school experience: 4 years skills: deep learning, technical skills, facial treatment, skincare, communication, business development, mysql, customer service","['deep learning', 'technical skills', 'facial treatment', 'skincare', 'communication', 'business development', 'mysql', 'customer service', 'react native', 'product knowledge']",esthetician,esthetics school,beauty & wellness,"['skincare', 'facial treatment', 'customer service', 'product knowledge', 'communication', 'technical skills']",esthetics school|license
r000023,"education: bachelor's in computer science experience: 3 years skills: sql, analytics, react, dbt, cloud platforms, documentation, pandas, creativity","['sql', 'analytics', 'react', 'dbt', 'cloud platforms', 'documentation', 'pandas', 'creativity', 'mongodb', 'data modeling', 'python']",analytics engineer,bachelor's in computer science,data & analytics,"['sql', 'python', 'dbt', 'data modeling', 'analytics', 'cloud platforms']",bachelor's in engineering|bachelor's in computer science
r000024,"education: bachelor's in it experience: 3 years skills: informatica, performance tuning, sql, react, gcp, data integration, etl, data quality","['informatica', 'performance tuning', 'sql', 'react', 'gcp', 'data integration', 'etl', 'data quality', 'wireframing']",informatica developer,bachelor's in information technology,data & analytics,"['informatica', 'etl', 'data integration', 'sql', 'data quality', 'performance tuning']",bachelor's in information technology
r000025,"education: bachelor's in statistics experience: 0 years skills: terraform, sql, python, excel, mongodb, statistical analysis, data visualization, rest api","['terraform', 'sql', 'python', 'excel', 'mongodb', 'statistical analysis', 'data visualization', 'rest api', 'tableau', 'html', 'project management']",data analyst,bachelor's in statistics,data & analytics,"['sql', 'python', 'excel', 'tableau', 'data visualization', 'statistical analysis']",bachelor's in mathematics|bachelor's in statistics
r000026,"education: doctor of pharmacy experience: 4 years skills: patient counseling, attention to detail, microservices, firewalls, pharmacy knowledge, communication, mysql, drug interactions","['patient counseling', 'attention to detail', 'microservices', 'firewalls', 'pharmacy knowledge', 'communication', 'mysql', 'drug interactions', 'accuracy']",pharmacist,doctor of pharmacy,healthcare,"['pharmacy knowledge', 'patient counseling', 'drug interactions', 'attention to detail', 'communication', 'accuracy']",doctor of pharmacy|pharmacy license
r000027,"education: bachelor's in computer science experience: 5 years skills: api development, go, pytorch, concurrency, scrum, swift, problem solving, responsive design","['api development', 'go', 'pytorch', 'concurrency', 'scrum', 'swift', 'problem solving', 'responsive design', 'web accessibility', 'docker', 'microservices']",go developer,bachelor's in computer science,technology,"['go', 'microservices', 'api development', 'concurrency', 'docker', 'problem solving']",bachelor's in computer science
r000028,"education: bachelor's in environmental science experience: 3 years skills: conservation, problem solving, user experience, environmental knowledge, safety, law enforcement, creativity, penetration testing","['conservation', 'problem solving', 'user experience', 'environmental knowledge', 'safety', 'law enforcement', 'creativity', 'penetration testing', 'node.js', 'communication', 'budget management']",conservation officer,bachelor's in environmental science,conservation,"['conservation', 'law enforcement', 'environmental knowledge', 'problem solving', 'communication', 'safety']",bachelor's in environmental science
r000029,"education: master's in business experience: 8 years skills: user experience, department management, leadership, gcp, decision making, strategic planning, budget control, graphql","['user experience', 'department management', 'leadership', 'gcp', 'decision making', 'strategic planning', 'budget control', 'graphql', 'database design', 'communication']",director,master's in business,private sector management,"['strategic planning', 'leadership', 'department management', 'budget control', 'decision making', 'communication']",bachelor's in business|master's in business
r000030,"education: bachelor's in production experience: 2 years skills: technical knowledge, communication, problem solving, creativity, leadership, negotiation, production management, angular","['technical knowledge', 'communication', 'problem solving', 'creativity', 'leadership', 'negotiation', 'production management', 'angular']",producer,bachelor's in production,entertainment & media,"['production management', 'leadership', 'technical knowledge', 'problem solving', 'communication', 'creativity']",bachelor's in production|bachelor's in communications
r000031,"education: bachelor's in game development experience: 2 years skills: game physics, c++, sql, penetration testing, app testing, graphics programming, unreal engine, unity","['game physics', 'c++', 'sql', 'penetration testing', 'app testing', 'graphics programming', 'unreal engine', 'unity', 'time management', 'html', 'c#']",game developer,bachelor's in game development,technology,"['unity', 'unreal engine', 'c#', 'c++', 'game physics', 'graphics programming']",bachelor's in game development|bachelor's in computer science
r000032,"education: bachelor's in geology experience: 3 years skills: research, analysis, technical knowledge, tensorflow, negotiation, field work, html, geology","['research', 'analysis', 'technical knowledge', 'tensorflow', 'negotiation', 'field work', 'html', 'geology', 'problem solving']",geologist,bachelor's in geology,science & research,"['geology', 'field work', 'analysis', 'research', 'problem solving', 'technical knowledge']",bachelor's in geology
r000033,"education: teaching credential experience: 1 years skills: patience, figma, instruction, html, classroom management, market research, communication, curriculum development","['patience', 'figma', 'instruction', 'html', 'classroom management', 'market research', 'communication', 'curriculum development', 'student assessment']",teacher,teaching credential,education & training,"['instruction', 'curriculum development', 'student assessment', 'communication', 'classroom management', 'patience']",bachelor's in education|teaching credential
r000034,"education: bachelor's in journalism experience: 1 years skills: business acumen, android, attention to detail, documentation, technical writing, content editing, communication, organization","['business acumen', 'android', 'attention to detail', 'documentation', 'technical writing', 'content editing', 'communication', 'organization', 'writing', 'management']",editor,bachelor's in journalism,entertainment & media,"['content editing', 'writing', 'organization', 'attention to detail', 'communication', 'management']",bachelor's in english|bachelor's in journalism
r000035,"education: bachelor's in engineering experience: 3 years skills: communication, customer relations, sales, product knowledge, technical problem solving, presentation, solution design, adaptability","['communication', 'customer relations', 'sales', 'product knowledge', 'technical problem solving', 'presentation', 'solution design', 'adaptability', 'c#', 'seo']",solutions engineer,bachelor's in engineering,technology,"['technical problem solving', 'solution design', 'communication', 'customer relations', 'product knowledge', 'presentation']",bachelor's in computer science|bachelor's in engineering
r000036,"education: bachelor's in marketing experience: 4 years skills: sales, automation platforms, segmentation, copywriting, a/b testing, analytics, azure, email campaign management","['sales', 'automation platforms', 'segmentation', 'copywriting', 'a/b testing', 'analytics', 'azure', 'email campaign management']",email marketing specialist,bachelor's in marketing,marketing & sales,"['email campaign management', 'segmentation', 'a/b testing', 'analytics', 'copywriting', 'automation platforms']",bachelor's in marketing
r000037,"education: bachelor's in operations experience: 3 years skills: safety, postgresql, equipment maintenance, problem solving, communication, staff management, production planning, quality control","['safety', 'postgresql', 'equipment maintenance', 'problem solving', 'communication', 'staff management', 'production planning', 'quality control']",production manager,bachelor's in operations,operations & supply chain,"['production planning', 'staff management', 'quality control', 'equipment maintenance', 'safety', 'problem solving']",bachelor's in engineering|bachelor's in operations
r000038,"education: bachelor's in computer engineering experience: 5 years skills: sensors, iot technology, system design, p&l management, embedded systems, ci/cd, mysql, aws","['sensors', 'iot technology', 'system design', 'p&l management', 'embedded systems', 'ci/cd', 'mysql', 'aws', 'c/c++', 'networking', 'adaptability']",iot engineer,bachelor's in computer engineering,technology,"['iot technology', 'embedded systems', 'networking', 'c/c++', 'sensors', 'system design']",bachelor's in electronics|bachelor's in computer engineering
r000039,"education: master's in business experience: 9 years skills: operations management, business operations, leadership, seo, docker, decision making, strategic thinking, communication","['operations management', 'business operations', 'leadership', 'seo', 'docker', 'decision making', 'strategic thinking', 'communication']",coo,master's in business,private sector management,"['operations management', 'strategic thinking', 'leadership', 'business operations', 'decision making', 'communication']",business administration|master's in business
r000040,"education: bachelor's in it experience: 3 years skills: database design, sql, perl, agile, performance, etl tools, problem solving, data quality","['database design', 'sql', 'perl', 'agile', 'performance', 'etl tools', 'problem solving', 'data quality', 'data integration']",etl developer,bachelor's in information technology,data & analytics,"['etl tools', 'sql', 'data integration', 'data quality', 'problem solving', 'performance']",bachelor's in information technology
r000041,"education: it certification experience: 5 years skills: ansible, kubernetes, graphic design, scikit-learn, linux, scripting, docker, documentation","['ansible', 'kubernetes', 'graphic design', 'scikit-learn', 'linux', 'scripting', 'docker', 'documentation', 'aws', 'ci/cd', 'query optimization']",devops engineer,information technology certification,technology,"['docker', 'kubernetes', 'aws', 'linux', 'ci/cd', 'scripting']",bachelor's in computer science|information technology certification
r000042,"education: master's in counseling experience: 3 years skills: ansible, communication, android, active listening, empathy, treatment planning, problem solving, counseling","['ansible', 'communication', 'android', 'active listening', 'empathy', 'treatment planning', 'problem solving', 'counseling', 'c++', 'postgresql', 'c#']",counselor,master's in counseling,human services & social work,"['counseling', 'active listening', 'problem solving', 'empathy', 'communication', 'treatment planning']",master's in counseling|licensing credentials
r000043,"education: bachelor's in business experience: 1 years skills: responsive design, requirements gathering, process improvement, excel, web accessibility, documentation, prototyping, business development","['responsive design', 'requirements gathering', 'process improvement', 'excel', 'web accessibility', 'documentation', 'prototyping', 'business development', 'javascript', 'sql', 'stakeholder communication']",business analyst,bachelor's in business,data & analytics,"['requirements gathering', 'sql', 'excel', 'process improvement', 'documentation', 'stakeholder communication']",bachelor's in business|bachelor's in computer science
r000044,"education: master's in relevant field experience: 2 years skills: analysis, strategic thinking, pytorch, sales, mobile security, research, communication, writing","['analysis', 'strategic thinking', 'pytorch', 'sales', 'mobile security', 'research', 'communication', 'writing', 'responsive design', 'policy expertise', 'kubernetes']",policy advisor,master's in relevant field,government & public service,"['policy expertise', 'analysis', 'writing', 'research', 'strategic thinking', 'communication']",master's in public policy|master's in relevant field
r000045,"education: massage therapy school experience: 2 years skills: problem solving, customer service, massage therapy, empathy, penetration testing, flutter, machine learning, communication","['problem solving', 'customer service', 'massage therapy', 'empathy', 'penetration testing', 'flutter', 'machine learning', 'communication', 'anatomy']",massage therapist,massage therapy school,beauty & wellness,"['massage therapy', 'anatomy', 'customer service', 'communication', 'problem solving', 'empathy']",massage therapy school|license
r000046,"education: bachelor's in environmental science experience: 3 years skills: ci/cd, problem solving, public safety, outdoor skills, react native, conservation, communication, environmental knowledge","['ci/cd', 'problem solving', 'public safety', 'outdoor skills', 'react native', 'conservation', 'communication', 'environmental knowledge', 'css']",park ranger,bachelor's in environmental science,conservation,"['conservation', 'public safety', 'environmental knowledge', 'communication', 'outdoor skills', 'problem solving']",bachelor's in environmental science
r000047,"education: bachelor's in botany experience: 4 years skills: user experience, problem solving, project management, microservices, communication, field work, plant science, flutter","['user experience', 'problem solving', 'project management', 'microservices', 'communication', 'field work', 'plant science', 'flutter', 'data analysis', 'research']",botanist,bachelor's in botany,science & research,"['plant science', 'field work', 'research', 'data analysis', 'problem solving', 'communication']",bachelor's in botany|master's preferred
r000048,"education: bachelor's in statistics experience: 2 years skills: figma, excel, statistical analysis, tableau, sql, confluence, data visualization, python","['figma', 'excel', 'statistical analysis', 'tableau', 'sql', 'confluence', 'data visualization', 'python', 'app testing']",data analyst,bachelor's in statistics,data & analytics,"['sql', 'python', 'excel', 'tableau', 'data visualization', 'statistical analysis']",bachelor's in mathematics|bachelor's in statistics
r000049,"education: bachelor's in computer science experience: 4 years skills: problem solving, client relations, adobe creative suite, pytorch, communication, product knowledge, jenkins, account management","['problem solving', 'client relations', 'adobe creative suite', 'pytorch', 'communication', 'product knowledge', 'jenkins', 'account management', 'technical knowledge']",technical account manager,bachelor's in computer science,technology,"['account management', 'technical knowledge', 'communication', 'problem solving', 'client relations', 'product knowledge']",bachelor's in computer science
r000050,"education: master's in strategy experience: 6 years skills: shell scripting, analysis, documentation, market knowledge, communication, problem solving, user interface, query optimization","['shell scripting', 'analysis', 'documentation', 'market knowledge', 'communication', 'problem solving', 'user interface', 'query optimization', 'leadership', 'vue.js', 'strategic thinking']",strategy consultant,master's in strategy,consulting,"['strategic thinking', 'analysis', 'communication', 'market knowledge', 'problem solving', 'leadership']",business administration|master's in strategy
r000051,"education: museum studies experience: 3 years skills: curation, problem solving, communication, java, art knowledge, microservices, management, research","['curation', 'problem solving', 'communication', 'java', 'art knowledge', 'microservices', 'management', 'research']",museum curator,museum studies,arts & culture,"['curation', 'art knowledge', 'research', 'communication', 'problem solving', 'management']",master's in art history|museum studies
r000052,"education: medical degree experience: 5 years skills: rest api, decision making, go, network security, medical knowledge, angular, numpy, empathy","['rest api', 'decision making', 'go', 'network security', 'medical knowledge', 'angular', 'numpy', 'empathy', 'treatment', 'diagnosis', 'patient communication']",physician,medical degree,healthcare,"['medical knowledge', 'diagnosis', 'treatment', 'patient communication', 'decision making', 'empathy']",medical degree|license to practice
r000053,"education: bachelor's in computer science experience: 1 years skills: react, java interop, coroutines, kanban, android development, problem solving, mobile development, kotlin","['react', 'java interop', 'coroutines', 'kanban', 'android development', 'problem solving', 'mobile development', 'kotlin']",kotlin developer,bachelor's in computer science,technology,"['kotlin', 'android development', 'java interop', 'coroutines', 'problem solving', 'mobile development']",bachelor's in computer science
r000054,"education: high school experience: 2 years skills: agile, problem solving, customer relations, inventory, sales, staff management, web design, store management","['agile', 'problem solving', 'customer relations', 'inventory', 'sales', 'staff management', 'web design', 'store management', 'leadership']",store manager,high school,retail & hospitality,"['store management', 'sales', 'staff management', 'inventory', 'customer relations', 'problem solving']",high school|leadership
r000055,"education: culinary school experience: 5 years skills: kitchen management, leadership, kubernetes, serverless, culinary skills, creativity, training, penetration testing","['kitchen management', 'leadership', 'kubernetes', 'serverless', 'culinary skills', 'creativity', 'training', 'penetration testing', 'food safety', 'financial analysis']",sous chef,culinary school,hospitality & food service,"['culinary skills', 'kitchen management', 'leadership', 'training', 'food safety', 'creativity']",culinary school
r000056,"education: bachelor's in environmental science experience: 3 years skills: problem solving, flutter, outdoor skills, environmental knowledge, conservation, css, confluence, public safety","['problem solving', 'flutter', 'outdoor skills', 'environmental knowledge', 'conservation', 'css', 'confluence', 'public safety', 'communication', 'mysql']",park ranger,bachelor's in environmental science,conservation,"['conservation', 'public safety', 'environmental knowledge', 'communication', 'outdoor skills', 'problem solving']",bachelor's in environmental science
r000057,"education: master's in science experience: 1 years skills: data analysis, writing, problem solving, research, html, experimentation, scrum, scientific knowledge","['data analysis', 'writing', 'problem solving', 'research', 'html', 'experimentation', 'scrum', 'scientific knowledge']",research scientist,master's in science,research & development,"['research', 'scientific knowledge', 'experimentation', 'data analysis', 'writing', 'problem solving']",master's in science|phd
r000058,"education: bachelor's in physical education experience: 0 years skills: kanban, p&l management, athletic knowledge, coaching, risk assessment, leadership, training program design, communication","['kanban', 'p&l management', 'athletic knowledge', 'coaching', 'risk assessment', 'leadership', 'training program design', 'communication', 'motivation']",coach,bachelor's in physical education,sports & recreation,"['athletic knowledge', 'coaching', 'leadership', 'communication', 'motivation', 'training program design']",bachelor's in physical education|coaching certification
r000059,"education: bachelor's in computer science experience: 0 years skills: jenkins, javascript, c#, cms, numpy, web design, php, mysql","['jenkins', 'javascript', 'c#', 'cms', 'numpy', 'web design', 'php', 'mysql', 'joomla', 'theme development']",joomla developer,bachelor's in computer science,technology,"['joomla', 'php', 'javascript', 'cms', 'mysql', 'theme development']",bachelor's in computer science
r000060,"education: bachelor's in marketing experience: 2 years skills: r, jira, crm, product knowledge, client relationships, communication, flutter, p&l management","['r', 'jira', 'crm', 'product knowledge', 'client relationships', 'communication', 'flutter', 'p&l management', 'negotiation', 'selling']",sales executive,bachelor's in marketing,marketing & sales,"['selling', 'negotiation', 'client relationships', 'crm', 'product knowledge', 'communication']",bachelor's in business|bachelor's in marketing
r000061,"education: high school experience: 0 years skills: point of sale, time management, accuracy, css, cash handling, user experience, customer service, friendliness","['point of sale', 'time management', 'accuracy', 'css', 'cash handling', 'user experience', 'customer service', 'friendliness', 'flutter', 'communication', 'problem solving']",cashier,high school,retail & hospitality,"['cash handling', 'customer service', 'point of sale', 'accuracy', 'communication', 'friendliness']",high school
r000062,"education: bachelor's in it experience: 1 years skills: database optimization, security, marketing, sql, mongodb, backup recovery, linux, financial analysis","['database optimization', 'security', 'marketing', 'sql', 'mongodb', 'backup recovery', 'linux', 'financial analysis']",database administrator,bachelor's in information technology,technology,"['sql', 'mongodb', 'database optimization', 'linux', 'backup recovery', 'security']",bachelor's in information technology|information technology certification
r000063,"education: salesforce certification experience: 4 years skills: lightning, mobile security, mysql, salesforce, apex, data analysis, mobile ui/ux, visualforce","['lightning', 'mobile security', 'mysql', 'salesforce', 'apex', 'data analysis', 'mobile ui/ux', 'visualforce', 'problem solving', 'crm']",salesforce developer,salesforce certification,technology,"['salesforce', 'apex', 'visualforce', 'lightning', 'crm', 'problem solving']",bachelor's in computer science|salesforce certification
r000064,"education: networking certification experience: 5 years skills: routing, networking, adobe creative suite, tcp/ip, configuration, cisco, security, flutter","['routing', 'networking', 'adobe creative suite', 'tcp/ip', 'configuration', 'cisco', 'security', 'flutter']",network engineer,networking certification,technology,"['cisco', 'networking', 'tcp/ip', 'security', 'routing', 'configuration']",bachelor's in information technology|networking certification
r000065,"education: broadcasting experience: 2 years skills: professionalism, pytorch, communication, public speaking, voice skills, quick thinking, pronunciation, responsive design","['professionalism', 'pytorch', 'communication', 'public speaking', 'voice skills', 'quick thinking', 'pronunciation', 'responsive design', 'swift', 'problem solving', 'scala']",announcer,broadcasting,media & entertainment,"['public speaking', 'voice skills', 'pronunciation', 'communication', 'professionalism', 'quick thinking']",high school|broadcasting
r000066,"education: bachelor's in computer science experience: 1 years skills: drupal, mysql, theme development, communication, module development, azure, javascript, gcp","['drupal', 'mysql', 'theme development', 'communication', 'module development', 'azure', 'javascript', 'gcp', 'php', 'adobe creative suite']",drupal developer,bachelor's in computer science,technology,"['drupal', 'php', 'javascript', 'mysql', 'theme development', 'module development']",bachelor's in computer science
r000067,"education: master's in non-profit management experience: 8 years skills: communication, vision, cloudformation, c++, non-profit leadership, fundraising, budget management, documentation","['communication', 'vision', 'cloudformation', 'c++', 'non-profit leadership', 'fundraising', 'budget management', 'documentation', 'strategic planning']",non-profit director,master's in non-profit management,non-profit & charity,"['non-profit leadership', 'fundraising', 'strategic planning', 'budget management', 'communication', 'vision']",master's in non-profit management|master's in business
r000068,"education: bachelor's in computer science experience: 2 years skills: marketing, ci/cd, compliance, security, typescript, microservices, linux, container security","['marketing', 'ci/cd', 'compliance', 'security', 'typescript', 'microservices', 'linux', 'container security', 'devops']",devsecops engineer,bachelor's in computer science,technology,"['devops', 'security', 'ci/cd', 'container security', 'compliance', 'linux']",bachelor's in computer science|security certification
r000069,"education: dental license experience: 1 years skills: graphql, patient communication, web design, clinical skills, dental procedures, flask, firewalls, compassion","['graphql', 'patient communication', 'web design', 'clinical skills', 'dental procedures', 'flask', 'firewalls', 'compassion', 'diagnosis', 'attention to detail']",dentist,dental license,healthcare,"['dental procedures', 'patient communication', 'diagnosis', 'attention to detail', 'compassion', 'clinical skills']",doctor of dental surgery|dental license
r000070,"education: high school experience: 2 years skills: problem solving, financial analysis, teamwork, critical thinking, customer service, product knowledge, marketing, communication","['problem solving', 'financial analysis', 'teamwork', 'critical thinking', 'customer service', 'product knowledge', 'marketing', 'communication', 'sales']",sales associate,high school,retail & hospitality,"['sales', 'customer service', 'product knowledge', 'communication', 'problem solving', 'teamwork']",high school
r000071,"education: bachelor's in it experience: 2 years skills: gcp, data visualization, analytics, looker, sql, mysql, dashboard development, lookml","['gcp', 'data visualization', 'analytics', 'looker', 'sql', 'mysql', 'dashboard development', 'lookml', 'decision making', 'go']",looker developer,bachelor's in information technology,data & analytics,"['looker', 'data visualization', 'lookml', 'sql', 'analytics', 'dashboard development']",bachelor's in information technology
r000072,"education: bachelor's in business experience: 4 years skills: real estate knowledge, cloudformation, adobe creative suite, swift, business development, communication, negotiation, sales leadership","['real estate knowledge', 'cloudformation', 'adobe creative suite', 'swift', 'business development', 'communication', 'negotiation', 'sales leadership', 'team management']",real estate broker,bachelor's in business,construction & real estate,"['sales leadership', 'real estate knowledge', 'negotiation', 'business development', 'team management', 'communication']",bachelor's in business|broker license
