resume_text,job_role,education,category,education_requirement,soft_skills_user,required_soft_skills,hard_skills_user,required_hard_skills_user
"education: diploma in it experience: 4 years skills: ui/ux design, vue.js, node.js, prototyping, css, html, react, javascript",frontend developer,diploma in information technology,technology,bachelor's in computer science,"['teamwork', 'critical thinking']","['teamwork', 'adaptability']","['javascript', 'node.js', 'react']","['javascript', 'react']"
"education: bachelor's in computer science experience: 3 years skills: network security, xcode, rest api, risk assessment, mobile design, c++, wireframing, swift",mobile developer ios,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'communication']","['problem solving', 'teamwork', 'adaptability', 'communication']",['rest api'],['rest api']
"education: bachelor's in computer science experience: 4 years skills: java, user interface, react native, wireframing, spring boot, power bi, rest api, maven",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'collaboration']","['problem solving', 'teamwork', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 4 years skills: kotlin, p&l management, android sdk, rest api, tensorflow, mobile design, xml, java",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'critical thinking']","['problem solving', 'communication']","['rest api', 'tensorflow', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 4 years skills: database design, python, perl, api development, sql, java, node.js, serverless",backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork']","['teamwork', 'adaptability', 'critical thinking']","['sql', 'python', 'node.js', 'java']","['sql', 'python', 'node.js', 'java']"
"education: bachelor's in computer science experience: 5 years skills: negotiation, mobile design, ios sdk, swift, rest api, figma, confluence, objective-c",mobile developer ios,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication', 'problem solving']","['problem solving', 'teamwork', 'collaboration', 'communication']",['rest api'],['rest api']
"education: bachelor's in it experience: 1 years skills: security, scikit-learn, tcp/ip, networking, graphql, cisco, routing, configuration",network engineer,bachelor's in information technology,technology,bachelor's in information technology,"['adaptability', 'problem solving']","['problem solving', 'critical thinking', 'communication']",['networking'],['networking']
"education: bachelor's in computer science experience: 1 years skills: api development, php, html/css, laravel, marketing, symfony, mysql, rest api",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'critical thinking']","['critical thinking', 'communication']","['rest api', 'mysql', 'php']","['mysql', 'php']"
"education: bachelor's in it experience: 4 years skills: documentation, networking, configuration, security, routing, cisco, terraform, agile",network engineer,bachelor's in information technology,technology,bachelor's in information technology,"['collaboration', 'teamwork']","['problem solving', 'teamwork', 'collaboration']","['rest api', 'networking']",['networking']
"education: bachelor's in computer science experience: 0 years skills: html/css, api development, adobe creative suite, laravel, database design, php, symfony, mysql",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'problem solving', 'teamwork']","['problem solving', 'adaptability', 'collaboration']","['mysql', 'php']","['mysql', 'php']"
"education: bachelor's in it experience: 3 years skills: bug tracking, rust, test automation, api testing, selenium, mobile security, manual testing, sql",qa engineer,bachelor's in information technology,technology,bachelor's in information technology,"['adaptability', 'teamwork', 'critical thinking']","['critical thinking', 'communication']",['sql'],['sql']
"education: bachelor's in computer science experience: 4 years skills: scripting, mobile security, docker, kotlin, presentation skills, android, ci/cd, linux",devops engineer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork', 'adaptability']","['teamwork', 'critical thinking', 'collaboration']","['linux', 'docker', 'tensorflow']","['linux', 'docker']"
"education: bachelor's in computer science experience: 0 years skills: python, financial analysis, django, sql, problem solving, rest api, power bi, flask",python developer,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['financial analysis', 'adaptability']","['sql', 'rest api', 'python']","['sql', 'rest api', 'python']"
"education: diploma in it experience: 4 years skills: html/css, decision making, node.js, seo, database, perl, react, javascript",full stack developer,diploma in information technology,technology,bachelor's in computer science,"['critical thinking', 'problem solving']","['problem solving', 'teamwork', 'adaptability', 'critical thinking']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: bootcamp experience: 4 years skills: django, numpy, api integration, mobile security, react, html, redux, css",react developer,bootcamp,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'communication']","['adaptability', 'communication']","['javascript', 'react']","['javascript', 'react']"
"education: networking certification experience: 3 years skills: scikit-learn, java, cisco, security, configuration, routing, networking, tcp/ip",network engineer,networking certification,technology,bachelor's in information technology,"['teamwork', 'adaptability']","['problem solving', 'teamwork', 'adaptability']","['networking', 'java']",['networking']
"education: bachelor's in computer science experience: 2 years skills: html, creativity, vue.js, mobile ui/ux, css, javascript, react, pandas",frontend developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'teamwork', 'problem solving']","['collaboration', 'communication']","['javascript', 'react']","['javascript', 'react']"
"education: bachelor's in computer science experience: 3 years skills: compliance, scikit-learn, encryption, linux, risk management, networking, leadership, security architecture",security engineer,bachelor's in computer science,technology,bachelor's in computer science,"['problem solving', 'adaptability']","['problem solving', 'adaptability', 'critical thinking']","['linux', 'networking']","['linux', 'networking']"
"education: diploma in it experience: 4 years skills: encryption, react, gcp, database, node.js, javascript, git, html/css",full stack developer,diploma in information technology,technology,bachelor's in computer science,"['problem solving', 'critical thinking']","['problem solving', 'teamwork', 'critical thinking', 'collaboration']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: bootcamp experience: 2 years skills: terraform, jenkins, css, html, api integration, market research, c++, react",react developer,bootcamp,technology,bachelor's in computer science,"['communication', 'adaptability', 'collaboration']","['problem solving', 'critical thinking', 'collaboration', 'communication']","['javascript', 'react']","['javascript', 'react']"
"education: bachelor's in computer science experience: 3 years skills: kotlin, android sdk, user experience, gcp, xml, seo, rest api, mobile design",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'communication']","['problem solving', 'adaptability', 'communication']","['rest api', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 4 years skills: compliance, ios, security architecture, typescript, linux, encryption, risk management, networking",security engineer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'problem solving', 'communication']","['problem solving', 'critical thinking', 'communication']","['linux', 'networking']","['linux', 'networking']"
"education: bachelor's in computer science experience: 2 years skills: maven, rest api, sql, nosql, typescript, financial analysis, microservices, java",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['teamwork', 'financial analysis', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 4 years skills: react native, hadoop, etl, ruby, spark, data warehousing, business development, sql",data engineer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'teamwork', 'problem solving']","['problem solving', 'collaboration']","['sql', 'python']","['sql', 'python']"
"education: it certification experience: 5 years skills: agile, mongodb, security, database optimization, penetration testing, linux, sql, backup recovery",database administrator,information technology certification,technology,bachelor's in information technology,"['adaptability', 'teamwork']","['adaptability', 'collaboration']","['sql', 'linux']","['sql', 'linux']"
"education: bachelor's in computer science experience: 5 years skills: security, networking, web accessibility, jira, scrum, teamwork, gcp, azure",cloud architect,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication']","['teamwork', 'adaptability', 'communication']",['networking'],['networking']
"education: master's in data science experience: 2 years skills: data analysis, oracle, statistics, python, mentoring, tensorflow, sql, mongodb",data scientist,master's in data science,technology,bachelor's in mathematics,['data analysis'],['data analysis'],"['sql', 'python', 'tensorflow']","['sql', 'python', 'tensorflow']"
"education: it certification experience: 4 years skills: database optimization, firewalls, cloudformation, serverless, mongodb, jenkins, security, aws",database administrator,information technology certification,technology,bachelor's in information technology,"['critical thinking', 'collaboration', 'adaptability']","['adaptability', 'collaboration', 'communication']","['sql', 'linux']","['sql', 'linux']"
"education: bachelor's in engineering experience: 2 years skills: business acumen, c++, problem solving, python, django, perl, query optimization, software design",software engineer,bachelor's in engineering,technology,bachelor's in computer science,['business acumen'],"['problem solving', 'business acumen', 'collaboration']","['python', 'java']","['python', 'java']"
"education: bachelor's in computer science experience: 1 years skills: microservices, marketing, creativity, java, maven, spring boot, rest api, sql",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'teamwork']","['teamwork', 'collaboration', 'communication']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in it experience: 3 years skills: networking, configuration, tcp/ip, security, android, cisco, routing, tensorflow",network engineer,bachelor's in information technology,technology,bachelor's in information technology,"['critical thinking', 'adaptability']","['adaptability', 'critical thinking']","['networking', 'tensorflow']",['networking']
"education: bachelor's in computer science experience: 1 years skills: rest api, redis, sales, sql, maven, project management, java, graphic design",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['problem solving', 'teamwork']","['problem solving', 'teamwork', 'adaptability', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in it experience: 4 years skills: budget management, windows server, business acumen, troubleshooting, active directory, networking, wireframing, security",systems administrator,bachelor's in information technology,technology,bachelor's in information technology,['business acumen'],"['business acumen', 'collaboration']","['linux', 'networking']","['linux', 'networking']"
"education: it certification experience: 4 years skills: teamwork, statistics, linux, react native, sql, backup recovery, oracle, security",database administrator,information technology certification,technology,bachelor's in information technology,"['problem solving', 'critical thinking']","['problem solving', 'teamwork', 'adaptability', 'critical thinking']","['sql', 'linux']","['sql', 'linux']"
"education: bachelor's in computer science experience: 2 years skills: api development, c#, symfony, html/css, swift, php, laravel, mysql",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'collaboration']","['critical thinking', 'collaboration']","['mysql', 'php']","['mysql', 'php']"
"education: security certification experience: 5 years skills: problem solving, penetration testing, encryption, firewalls, security protocols, networking, ci/cd, risk analysis",cybersecurity specialist,security certification,technology,bachelor's in cybersecurity,['risk analysis'],['risk analysis'],['networking'],['networking']
"education: bachelor's in computer science experience: 4 years skills: react, vue.js, css, time management, html, agile, ui/ux design, ruby",frontend developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork', 'adaptability']","['problem solving', 'teamwork', 'adaptability']","['javascript', 'react']","['javascript', 'react']"
"education: bachelor's in computer science experience: 2 years skills: mobile design, rest api, php, xml, power bi, android sdk, java, kotlin",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'adaptability']","['teamwork', 'adaptability', 'communication']","['rest api', 'java', 'php']","['rest api', 'java']"
"education: bachelor's in computer science experience: 5 years skills: adobe creative suite, html/css, database, javascript, node.js, statistics, git, project management",full stack developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'problem solving']","['problem solving', 'teamwork', 'communication']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: cloud certification experience: 5 years skills: azure, security, networking, kanban, javascript, rust, aws, gcp",cloud architect,cloud certification,technology,bachelor's in computer science,"['teamwork', 'communication']","['teamwork', 'critical thinking', 'communication']","['javascript', 'networking']",['networking']
"education: diploma in it experience: 4 years skills: react, terraform, strategic planning, flask, node.js, javascript, database, git",full stack developer,diploma in information technology,technology,bachelor's in computer science,"['critical thinking', 'teamwork']","['problem solving', 'teamwork', 'critical thinking', 'collaboration']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: diploma in it experience: 5 years skills: mentoring, tableau, html/css, documentation, react, critical thinking, database, javascript",full stack developer,diploma in information technology,technology,bachelor's in computer science,"['teamwork', 'collaboration', 'problem solving']","['problem solving', 'critical thinking', 'collaboration']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: bachelor's in computer science experience: 5 years skills: security, aws, system design, javascript, android, financial analysis, gcp, networking",cloud architect,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['financial analysis', 'critical thinking']","['javascript', 'networking']",['networking']
"education: bachelor's in mathematics experience: 3 years skills: tensorflow, sql, statistics, machine learning, wireframing, data analysis, scala, python",data scientist,bachelor's in mathematics,technology,bachelor's in mathematics,['data analysis'],['data analysis'],"['sql', 'python', 'tensorflow']","['sql', 'python', 'tensorflow']"
"education: bachelor's in computer science experience: 5 years skills: cloudformation, network security, vue.js, node.js, java, api development, python, sql",backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'critical thinking']","['teamwork', 'adaptability', 'critical thinking']","['sql', 'python', 'node.js', 'java']","['sql', 'python', 'node.js', 'java']"
"education: security certification experience: 3 years skills: creativity, firewalls, encryption, aws, networking, python, penetration testing, risk analysis",cybersecurity specialist,security certification,technology,bachelor's in cybersecurity,['risk analysis'],['risk analysis'],"['python', 'networking']",['networking']
"education: bachelor's in computer science experience: 1 years skills: git, html/css, database, react, technical writing, mobile ui/ux, javascript, node.js",full stack developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'problem solving']","['problem solving', 'adaptability', 'collaboration', 'communication']","['javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: bachelor's in it experience: 3 years skills: oracle, active directory, networking, linux, troubleshooting, windows server, microservices, user interface",systems administrator,bachelor's in information technology,technology,bachelor's in information technology,"['critical thinking', 'adaptability', 'teamwork']","['teamwork', 'adaptability', 'critical thinking']","['linux', 'networking', 'microservices']","['linux', 'networking']"
"education: bachelor's in computer science experience: 3 years skills: figma, java, sql, rest api, python, financial analysis, maven, microservices",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['problem solving', 'financial analysis']","['sql', 'rest api', 'python', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in it experience: 3 years skills: responsive design, routing, networking, security, configuration, app testing, tcp/ip, kubernetes",network engineer,bachelor's in information technology,technology,bachelor's in information technology,"['collaboration', 'communication', 'problem solving']","['problem solving', 'adaptability', 'collaboration', 'communication']",['networking'],['networking']
"education: bachelor's in computer science experience: 5 years skills: docker, aws, scripting, ci/cd, adaptability, angular, postgresql, linux",devops engineer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'problem solving', 'collaboration']","['collaboration', 'communication']","['linux', 'docker']","['linux', 'docker']"
"education: bachelor's in computer science experience: 7 years skills: azure, rest api, networking, aws, security, angular, system design, gcp",cloud architect,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication', 'collaboration']","['adaptability', 'critical thinking', 'communication']","['sql', 'rest api', 'networking']",['networking']
"education: bachelor's in computer science experience: 2 years skills: etl, hadoop, react, spark, react native, postgresql, agile, seo",data engineer,bachelor's in computer science,technology,bachelor's in computer science,"['problem solving', 'communication', 'teamwork']","['problem solving', 'teamwork', 'critical thinking']","['sql', 'python', 'react']","['sql', 'python']"
"education: master's in data science experience: 3 years skills: machine learning, perl, statistics, business acumen, data analysis, tensorflow, javascript, python",data scientist,master's in data science,technology,bachelor's in mathematics,"['business acumen', 'data analysis']",['data analysis'],"['sql', 'python', 'javascript', 'tensorflow']","['sql', 'python', 'tensorflow']"
"education: bachelor's in it experience: 2 years skills: active directory, troubleshooting, flask, networking, security, linux, windows server, jenkins",systems administrator,bachelor's in information technology,technology,bachelor's in information technology,"['adaptability', 'problem solving']","['problem solving', 'teamwork', 'adaptability', 'critical thinking']","['linux', 'networking']","['linux', 'networking']"
"education: bachelor's in computer science experience: 2 years skills: java, rest api, tensorflow, android sdk, xml, kotlin, aws, mobile design",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'adaptability']","['teamwork', 'critical thinking']","['rest api', 'tensorflow', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 1 years skills: react, adaptability, swift, agile, graphic design, sql, xcode, ios sdk",mobile developer ios,bachelor's in computer science,technology,bachelor's in computer science,"['problem solving', 'communication']","['problem solving', 'critical thinking', 'communication']","['sql', 'rest api', 'react']",['rest api']
"education: bachelor's in computer science experience: 1 years skills: python, css, django, rest api, sql, problem solving, flask, decision making",python developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'communication']","['critical thinking', 'collaboration']","['sql', 'rest api', 'python']","['sql', 'rest api', 'python']"
"education: bachelor's in mathematics experience: 3 years skills: sql, documentation, data analysis, business acumen, statistics, machine learning, sales, budget management",data scientist,bachelor's in mathematics,technology,bachelor's in mathematics,"['business acumen', 'data analysis']",['data analysis'],"['sql', 'python', 'tensorflow']","['sql', 'python', 'tensorflow']"
"education: it certification experience: 3 years skills: serverless, ci/cd, aws, docker, scripting, cloudformation, kubernetes, linux",devops engineer,information technology certification,technology,bachelor's in computer science,"['critical thinking', 'collaboration']","['teamwork', 'critical thinking', 'collaboration', 'communication']","['linux', 'docker']","['linux', 'docker']"
"education: bachelor's in computer science experience: 1 years skills: maven, microservices, spring boot, java, rest api, sql, creativity, business acumen",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,['business acumen'],"['problem solving', 'business acumen', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in cybersecurity experience: 4 years skills: mentoring, security protocols, ci/cd, firewalls, encryption, azure, mobile ui/ux, networking",cybersecurity specialist,bachelor's in cybersecurity,technology,bachelor's in cybersecurity,['risk analysis'],['risk analysis'],['networking'],['networking']
"education: bachelor's in computer science experience: 3 years skills: java, microservices, technical writing, spring boot, rest api, sql, teamwork, maven",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'problem solving', 'communication']","['adaptability', 'communication']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 5 years skills: mobile design, java, kotlin, c++, android sdk, rest api, encryption, css",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'communication']","['adaptability', 'critical thinking']","['rest api', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 1 years skills: html, sql, power bi, rest api, problem solving, java, spring boot, maven",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'teamwork']","['problem solving', 'teamwork', 'adaptability', 'collaboration']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 3 years skills: perl, sql, business development, firewalls, django, python, rest api, flask",python developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork']","['problem solving', 'adaptability', 'critical thinking']","['sql', 'rest api', 'python']","['sql', 'rest api', 'python']"
"education: bachelor's in computer science experience: 5 years skills: xml, kotlin, java, mobile design, teamwork, rest api, scrum, oracle",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'adaptability']","['problem solving', 'critical thinking']","['rest api', 'java']","['rest api', 'java']"
"education: it certification experience: 3 years skills: ios, security, troubleshooting, statistics, windows server, networking, active directory, html",systems administrator,information technology certification,technology,bachelor's in information technology,"['problem solving', 'collaboration']","['problem solving', 'teamwork', 'collaboration', 'communication']","['linux', 'networking']","['linux', 'networking']"
"education: bachelor's in cybersecurity experience: 6 years skills: css, firewalls, security protocols, penetration testing, risk analysis, encryption, gcp, react",cybersecurity specialist,bachelor's in cybersecurity,technology,bachelor's in cybersecurity,['risk analysis'],['risk analysis'],"['networking', 'react']",['networking']
"education: bachelor's in computer science experience: 6 years skills: pandas, scripting, kubernetes, ci/cd, linux, docker, aws, scrum",devops engineer,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'communication', 'collaboration']","['problem solving', 'teamwork', 'collaboration', 'communication']","['linux', 'docker', 'node.js', 'microservices']","['linux', 'docker']"
"education: bachelor's in computer science experience: 5 years skills: spring boot, sql, rest api, java, financial analysis, mentoring, maven, kanban",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,['financial analysis'],"['teamwork', 'financial analysis', 'adaptability']","['sql', 'rest api', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 5 years skills: java, docker, rest api, web accessibility, time management, spring boot, microservices, maven",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'collaboration', 'teamwork']","['teamwork', 'collaboration', 'communication']","['sql', 'rest api', 'docker', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: bachelor's in computer science experience: 5 years skills: java, serverless, rest api, statistics, mobile design, go, xml, kotlin",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['problem solving', 'teamwork']","['problem solving', 'adaptability', 'communication']","['rest api', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 2 years skills: strategic planning, node.js, javascript, adaptability, jira, react, html/css, database",full stack developer,bachelor's in computer science,technology,bachelor's in computer science,"['teamwork', 'problem solving', 'communication']","['problem solving', 'teamwork', 'collaboration', 'communication']","['rest api', 'javascript', 'node.js', 'react']","['javascript', 'node.js', 'react']"
"education: bachelor's in computer science experience: 2 years skills: mobile design, scrum, kotlin, rest api, android sdk, tensorflow, java, xml",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'problem solving', 'collaboration']","['teamwork', 'collaboration', 'communication']","['rest api', 'tensorflow', 'java']","['rest api', 'java']"
"education: bachelor's in computer science experience: 3 years skills: compliance, laravel, nosql, html/css, mysql, symfony, api development, php",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['communication', 'problem solving', 'teamwork']","['critical thinking', 'communication']","['mysql', 'php']","['mysql', 'php']"
"education: security certification experience: 5 years skills: responsive design, vue.js, risk management, networking, business development, angular, statistics, security architecture",security engineer,security certification,technology,bachelor's in computer science,"['collaboration', 'communication', 'critical thinking']","['problem solving', 'critical thinking']","['linux', 'networking']","['linux', 'networking']"
"education: bachelor's in computer science experience: 3 years skills: java, api development, react, mobile security, node.js, sql, communication, python",backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'collaboration']","['critical thinking', 'collaboration']","['sql', 'python', 'node.js', 'react', 'java']","['sql', 'python', 'node.js', 'java']"
"education: bachelor's in mathematics experience: 4 years skills: graphic design, python, sql, web design, data analysis, java, tensorflow, machine learning",data scientist,bachelor's in mathematics,technology,bachelor's in mathematics,['data analysis'],['data analysis'],"['sql', 'python', 'tensorflow', 'java']","['sql', 'python', 'tensorflow']"
"education: bachelor's in computer science experience: 1 years skills: machine learning, mobile design, xml, flask, rest api, android sdk, java, kotlin",mobile developer android,bachelor's in computer science,technology,bachelor's in computer science,"['adaptability', 'teamwork']","['problem solving', 'teamwork', 'adaptability']","['rest api', 'java']","['rest api', 'java']"
"education: networking certification experience: 1 years skills: cisco, r, networking, python, configuration, budget management, security, tcp/ip",network engineer,networking certification,technology,bachelor's in information technology,"['problem solving', 'adaptability', 'teamwork']","['problem solving', 'adaptability', 'communication']","['python', 'networking']",['networking']
"education: bachelor's in computer science experience: 2 years skills: go, react native, data warehousing, python, spark, etl, sql, hadoop",data engineer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'teamwork']","['problem solving', 'teamwork', 'adaptability', 'critical thinking']","['sql', 'python', 'javascript']","['sql', 'python']"
"education: bachelor's in computer science experience: 1 years skills: rest api, api development, laravel, php, wireframing, symfony, pandas, mysql",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'communication', 'collaboration']","['teamwork', 'collaboration', 'communication']","['rest api', 'mysql', 'php']","['mysql', 'php']"
"education: bachelor's in computer science experience: 4 years skills: pandas, postgresql, symfony, html/css, time management, api development, mysql, laravel",php developer,bachelor's in computer science,technology,bachelor's in computer science,"['collaboration', 'teamwork']","['problem solving', 'teamwork', 'collaboration']","['mysql', 'php']","['mysql', 'php']"
"education: bachelor's in computer science experience: 1 years skills: microservices, java, spring boot, azure, maven, sql, rest api, docker",java backend developer,bachelor's in computer science,technology,bachelor's in computer science,"['critical thinking', 'adaptability', 'collaboration']","['problem solving', 'teamwork', 'adaptability', 'collaboration']","['sql', 'rest api', 'docker', 'microservices', 'java']","['sql', 'rest api', 'microservices', 'java']"
"education: it certification experience: 5 years skills: linux, business development, penetration testing, aws, p&l management, negotiation, ci/cd, kubernetes",devops engineer,information technology certification,technology,bachelor's in computer science,"['collaboration', 'problem solving']","['problem solving', 'collaboration', 'communication']","['linux', 'docker']","['linux', 'docker']"
